ID,gameName,score,releaseDate,developer,publisher
app_10,Counter-Strike,88, 1 Nov 2000,Valve,Valve
app_1002,Rag Doll Kung Fu,69, 12 Oct 2005,Mark Healey,Mark Healey
app_100400,Silo 2,NA, 19 Dec 2012,Nevercenter Ltd. Co.,Nevercenter Ltd. Co.
app_100410,CameraBag 2,NA, 2 Oct 2012,Nevercenter Ltd. Co.,Nevercenter Ltd. Co.
app_10090,Call of Duty: World at War,83, 18 Nov 2008,Treyarch,Treyarch
app_100980,3D-Coat V4,NA, 2 Oct 2012,Pilgway,Pilgway
app_10100,King's QuestTM Collection,NA, 1 Sep 2006,null,Pilgway
app_10110,Space QuestTM Collection,NA, 1 Sep 2006,null,Pilgway
app_10120,Aces of the GalaxyTM,NA, 4 Jun 2008,Artech Studios,Artech Studios
app_10130,TimeShiftTM,71, 30 Oct 2007,Saber Interactive,Saber Interactive
app_10140,3D UltraTM Minigolf Adventures,NA, 20 Dec 2006,Wanako Games,Wanako Games
app_10150,PrototypeTM,79, 10 Jun 2009,Radical Entertainment,Radical Entertainment
app_10180,Call of Duty: Modern Warfare 2,86, 12 Nov 2009,Infinity WardAspyr (Mac),Infinity WardAspyr (Mac)
app_10195,Call of Duty: Modern Warfare 2 Stimulus Package,NA, 4 May 2010,Infinity WardAspyr (Mac),Infinity WardAspyr (Mac)
app_10196,Call of Duty: Modern Warfare 2 Resurgence Pack,NA, 6 Jul 2010,Infinity WardAspyr (Mac),Infinity WardAspyr (Mac)
app_10220,Postal III,24, 21 Dec 2011,Trashmasters,Trashmasters
app_102200,Runespell: Overture,69, 20 Jul 2011,Mystic Box,Mystic Box
app_10230,Dead Mountaineer's Hotel,NA, 27 Nov 2009,Electronic Paradise,Electronic Paradise
app_10240,A Stroke of Fate: Operation Valkyrie,NA, 13 Feb 2009,SPLine,SPLine
app_102400,Vertex Dispenser,70, 10 Jun 2011,Michael Brough,Michael Brough
app_10250,PT Boats: Knights of the Sea,NA, 30 Jan 2009,Studio4,Studio4
app_102500,Kingdoms of Amalur: ReckoningTM,81, 9 Feb 2012,Big Huge Games38 Studios,Big Huge Games38 Studios
app_102510,Kingdoms of Amalur: Reckoning - Legend of Dead Kel,NA, 20 Mar 2012,Big Huge Games38 Studios,Big Huge Games38 Studios
app_102511,Kingdoms of Amalur: Reckoning - Teeth of Naros,NA, 17 Apr 2012,Big Huge Games38 Studios,Big Huge Games38 Studios
app_10260,PT Boats: South Gambit,NA, 10 Dec 2010,studio4,studio4
app_102600,Orcs Must Die!,83, 11 Oct 2011,Robot Entertainment,Robot Entertainment
app_102622,Orcs Must Die! - Artifacts of Power,NA, 25 Oct 2011,Robot Entertainment,Robot Entertainment
app_102623,Orcs Must Die! - Lost Adventures,NA, 8 Nov 2011,Robot Entertainment,Robot Entertainment
app_10270,Disciples III: Reincarnation,NA, 14 Feb 2014,Akella,Akella
app_102820,The Sims Medieval,77, 27 May 2011,Electronic Arts,Electronic Arts
app_102822,The Sims MedievalTM: Pirates & Nobles,NA, 2 Sep 2011,Electronic Arts,Electronic Arts
app_102840,Shank 2,72, 7 Feb 2012,Klei Entertainment,Klei Entertainment
app_102850,Warp,NA, 21 Mar 2012,Trapdoor Inc.,Trapdoor Inc.
app_104000,iBomber Defense,NA, 26 May 2011,Cobra Mobile,Cobra Mobile
app_104020,Storm in a Teacup,NA, 19 Jan 2012,Cobra Mobile,Cobra Mobile
app_104100,Inside a Star-filled Sky,NA, 14 May 2011,Jason Rohrer,Jason Rohrer
app_104200,BEEP,NA, 6 May 2011,Big Fat Alien,Big Fat Alien
app_104600,Portal 2 - The Final Hours,NA, 17 May 2011,Geoff Keighley,Geoff Keighley
app_104900,ORION: Prelude,NA, 4 May 2012,Spiral Game Studios,Spiral Game Studios
app_105000,A New Beginning - Final Cut,72, 11 Dec 2012,Daedalic Entertainment,Daedalic Entertainment
app_105100,Lume,69, 9 May 2011,State of Play Games,State of Play Games
app_105300,Critical Mass,81, 20 Jun 2011,Manic Game Studios,Manic Game Studios
app_105420,Ms. Splosion Man,NA, 3 Apr 2013,Twisted Pixel Games,Twisted Pixel Games
app_105450,Age of Empires III: Complete Collection,81, 15 Sep 2009,Ensemble Studios,Ensemble Studios
app_105600,Terraria,83, 16 May 2011,Re-Logic,Re-Logic
app_105700,Tobe's Vertical Adventure,75, 18 Jul 2011,Secret Base,Secret Base
app_105800,PixelJunk Eden,81, 2 Feb 2012,"Q-Games, Ltd.","Q-Games, Ltd."
app_105802,Pixeljunk Eden Soundtrack,NA, 2 Feb 2012,"Q-Games, Ltd.","Q-Games, Ltd."
app_107100,Bastion,86, 16 Aug 2011,Supergiant Games,Supergiant Games
app_107200,Space Pirates and Zombies,74, 15 Aug 2011,MinMax Games Ltd.,MinMax Games Ltd.
app_107410,Arma 3,74, 12 Sep 2013,Bohemia Interactive,Bohemia Interactive
app_107600,Waves,82, 16 Nov 2011,Squid In A Box Ltd,Squid In A Box Ltd
app_107800,Rochard,81, 15 Nov 2011,Recoil Games,Recoil Games
app_107820,Rochard Soundtrack and Artbook,NA,null,Recoil Games,Recoil Games
app_107821,Rochard: Hard Times,NA, 1 Mar 2013,Recoil Games,Recoil Games
app_108100,Adam's Venture Episode 1: The Search For The Lost Garden,NA, 1 Jan 2010,Vertigo Games,Vertigo Games
app_108110,Starpoint Gemini,46, 16 Feb 2012,Little Green Man Games,Little Green Man Games
app_108200,Ticket to Ride,NA, 24 May 2012,Days of Wonder,Days of Wonder
app_108230,Ticket to Ride Europe DLC,NA, 24 May 2012,Days of Wonder,Days of Wonder
app_108231,Ticket to Ride Switzerland DLC,NA, 24 May 2012,Days of Wonder,Days of Wonder
app_108232,Ticket to Ride USA 1910 DLC,NA, 24 May 2012,Days of Wonder,Days of Wonder
app_108233,Ticket to Ride Legendary Asia DLC,NA, 2 Aug 2012,Days of Wonder,Days of Wonder
app_108500,Vessel,81, 1 Mar 2012,Strange Loop Games,Strange Loop Games
app_108600,Project Zomboid,NA, 8 Nov 2013,The Indie Stone,The Indie Stone
app_108700,Death Rally,NA, 3 Aug 2012,Remedy Entertainment Ltd.Mountain Sheep Inc.  Cornfox & Brothers Ltd.,Remedy Entertainment Ltd.Mountain Sheep Inc.  Cornfox & Brothers Ltd.
app_108710,Alan Wake,83, 16 Feb 2012,Remedy Entertainment,Remedy Entertainment
app_108800,Crysis 2 - Maximum Edition,NA, 22 Mar 2011,Crytek Studios,Crytek Studios
app_109200,Legend of Fae,NA, 26 Jul 2011,Endlessfluff Games,Endlessfluff Games
app_109500,Fowl Space,NA, 21 Mar 2012,Pixelante Game Studios,Pixelante Game Studios
app_109700,Achron,54, 29 Aug 2011,Hazardous Software Inc.,Hazardous Software Inc.
