,diana,clara,pearson -> clara,k-medoids,ID
abysswraithsofeden,1,1,1,0,1
acecombatassaulthorizonenhancededition,2,2,2,0,2
achronplussoundtrack,3,3,3,0,3
actofwardirectaction,2,2,2,0,4
adamsventureepisodeiiirevelations,1,1,4,0,5
adamsventureepisodeisearchforlostgarden,1,1,4,0,6
adventurepark,2,2,5,0,7
adventurezatorwhenpigsfly,4,4,6,0,8
afterfallinsanitydirtyarenaedition,5,5,7,0,9
afterfallinsanityextendededition,5,5,8,0,10
agameofdwarves,2,2,2,0,11
agameofthronesgenesis,1,6,9,0,12
ageofbooty,2,7,5,0,13
ageofempiresiiicompletecollection,1,8,10,0,14
agfprofantasysidescrollerplayer,5,4,7,0,15
agfprozombiefpsplayer,4,9,11,0,16
agriculturalsimulatorhistoricalfarming,2,7,12,0,17
agriculturalsimulatorii0iiextendededition,1,6,9,0,18
aimiiclanwars,5,10,8,0,19
airconflictscollection,6,11,2,0,20
airconflictspacificcarriers,1,12,13,0,21
airconflictspacificcarriersivpack,1,1,4,0,22
airconflictssecretwars,1,6,8,0,23
airconflictsvietnam,2,2,2,0,24
airconflictsvietnamivpack,6,11,2,0,25
airlinetycoonii,1,1,4,0,26
airlinetycooniigoldedition,1,8,13,0,27
airportsimulatorii0iiv,2,7,10,0,28
aiwarcollection,1,1,1,0,29
alanwake,2,2,2,0,30
alanwakecollectorsedition,7,13,14,0,31
alanwakefranchise,2,2,2,0,32
alanwakesamericannightmare,1,14,10,0,33
alienbreediiassault,1,1,1,0,34
alienbreediiidescent,1,1,1,0,35
alienbreedimpact,1,1,1,0,36
alienbreedtrilogy,2,7,12,0,37
alienisolation,3,3,3,0,38
alienscolonialmarines,1,6,15,0,39
alienscolonialmarinesbughuntdlc,6,11,16,0,40
alienscolonialmarinesmoviemappack,6,11,16,0,41
alienscolonialmarinesseasonpass,7,15,14,0,42
alienspidy,2,7,12,0,43
aliensversuspredatorclassicii000,7,13,17,0,44
aliensvspredator,6,11,14,0,45
allaspectwarpack,1,14,13,0,46
aloneindark,2,8,10,0,47
aloneindarknewnightmare,1,16,9,0,48
alphazylon,4,9,6,0,49
alterego,1,6,15,0,50
amazingspiderman,8,13,14,0,51
amazingspidermanii,9,17,14,0,52
amnesiacollection,6,15,14,0,53
anachronox,2,2,2,0,54
anewbeginningfinalcut,1,8,13,0,55
anewreckoning,4,9,11,0,56
angelicaweavercatchmewhenyoucan,2,7,12,0,57
angvik,2,7,12,0,58
annoii0vii0,1,12,13,0,59
annoii0vii0completeedition,6,15,14,0,60
annoii0vii0deepocean,1,14,10,0,61
annoii0vii0dlccompletepack,6,15,14,0,62
anomalywarzoneearth,1,8,13,0,63
antichamber,2,2,5,0,64
arcaneworlds,6,11,16,0,65
arcaniafallofsetarrif,1,8,10,0,66
arcaniagoldedition,1,1,1,0,67
arcaniagothiciv,1,8,10,0,68
armadaiiviivi,1,1,4,0,69
armadaiiviivigoldedition,1,1,4,0,70
armaiii,2,7,12,0,71
arsenalofdemocracy,2,8,10,0,72
ascensiontothrone,1,16,9,0,73
assassinscreedbrotherhood,1,14,10,0,74
assassinscreedfreedomcry,6,11,16,0,75
assassinscreediideluxeedition,6,11,16,0,76
assassinscreediii,1,12,1,0,77
assassinscreediiibattlehardenedpack,6,11,16,0,78
assassinscreediiideluxeedition,2,7,5,0,79
assassinscreediiihiddensecretspack,6,11,16,0,80
assassinscreediiiseasonpass,7,15,14,0,81
assassinscreediiityrannyofkingwashingtonpartiibetrayal,7,15,14,0,82
assassinscreediiityrannyofkingwashingtonpartiiiredemption,7,15,14,0,83
assassinscreediiityrannyofkingwashingtonpartiinfamy,6,11,16,0,84
assassinscreedivblackflag,1,12,13,0,85
assassinscreedivblackflagfreedomcry,7,15,14,0,86
assassinscreedivblackflagillustriouspiratespack,6,11,16,0,87
assassinscreedivblackflagseasonpass,8,13,17,0,88
assassinscreedliberationhd,7,13,14,0,89
assassinscreedrevelations,1,12,4,0,90
assassinscreedrevelationsgoldedition,1,14,13,0,91
assassinscreedrevelationslostarchive,7,15,14,0,92
assassinscreedrevelationsmediterraneantravelermappack,7,15,14,0,93
atlantisskypatrol,3,3,3,0,94
atrainviii,1,1,13,0,95
avadonblackfortress,2,7,12,0,96
avadoniicorruption,2,2,5,0,97
avalleywithoutwindiandiidualpackfourpack,1,1,9,0,98
avernumiv,1,16,9,0,99
aveyondgatesofnight,5,16,15,0,100
awalkindark,1,8,13,0,101
awesomenautsblastfrompastdlcbundle,2,2,5,0,102
awesomenautscostumepartydlcbundle,2,7,5,0,103
awesomenautsmeanandgreendlcbundle,2,2,5,0,104
awesomenautspowerpack,1,1,1,0,105
awesomenautstropicalthunderdlcbundle,2,2,5,0,106
awizardslizard,4,9,11,0,107
axisgamefactory,1,1,1,0,108
axisgamefactoryplusfantasysidescrollerplayer,4,9,11,0,109
axisgamefactorypluszombiefpsandfantasysidescrollerplayer,4,9,11,0,110
axisgamefactorypremium,1,1,1,0,111
axisgamefactorysagfprozombiefpsplayerdlc,5,4,7,0,112
azada,3,3,3,0,113
aztaka,2,8,10,0,114
babelrising,2,7,12,0,115
badbots,1,8,13,0,116
baldursgateenhancededition,2,2,2,0,117
baldursgateiienhancededition,9,13,14,0,118
ball,1,6,7,0,119
balladofsolar,5,4,8,0,120
bangbangracing,2,8,10,0,121
banished,7,13,14,0,122
bannersaga,6,11,2,0,123
baronwittardnemesisofragnarok,3,3,3,0,124
bastion,7,15,14,0,125
batmanarkhamasylumgotyedition,10,18,18,0,126
batmanarkhamcitygameofyearedition,7,15,14,0,127
batmanarkhamorigins,1,14,10,0,128
batmanarkhamoriginsseasonpass,6,11,16,0,129
battlepaths,2,8,13,0,130
battlestationsmidway,1,14,10,0,131
battlestationspacific,1,6,15,0,132
battlevschess,3,3,3,0,133
battleworldskronos,5,16,8,0,134
battleworldskronosdigitaldeluxeedition,5,16,15,0,135
