sgamename,gamename,PAMK,GenreAction,Accounting,Action,Adventure,AnimationAndModeling,AudioProduction,Casual,DesignAndIllustration,EarlyAccess,Education,FreeToPlay,Indie,MassivelyMultiplayer,PhotoEditing,Racing,RPG,Simulation,Sports,Strategy,Utilities,VideoProduction,WebPublishing,SoftwareTraining
abysswraithsofeden,Abyss: The Wraiths of Eden,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acecombatassaulthorizonenhancededition,Ace Combat Assault Horizon - Enhanced Edition,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
acitysleepsdeluxeedition,A City SleepsTM,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
actofwardirectaction,Act of War: Direct Action,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adamsventureepisodeiiirevelations,Adam's Venture Episode 3: Revelations,4,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
adamsventureepisodeisearchforlostgarden,Adam's Venture Episode 1: The Search For The Lost Garden,4,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
adventurepark,Adventure Park,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
adventurezatorwhenpigsfly,Adventurezator: When Pigs Fly,5,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
afterfallinsanitydirtyarenaedition,Afterfall Insanity -  Dirty Are Edition,5,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
afterfallinsanityextendededition,Afterfall Insanity Extended Edition,6,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
agameofdwarves,A Game of Dwarves,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
agameofthronesgenesis,A Game of Thrones - Genesis,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ageofbooty,Age of BootyTM,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ageofempiresiiicompletecollection,Age of Empires III: Complete Collection,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
agfprofantasysidescrollerplayer,Axis Game Factory's AGFPRO Fantasy Side-Scroller Player,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
agriculturalsimulatorhistoricalfarming,Agricultural Simulator: Historical Farming,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
agriculturalsimulatorii0iiextendededition,Agricultural Simulator 2011: Extended Edition,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
aimiiclanwars,A.I.M.2 Clan Wars,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
airconflictspacificcarriersivpack,Air Conflicts: Pacific Carriers,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
airconflictssecretwars,Air Conflicts: Secret Wars,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
airconflictsvietnamivpack,Air Conflicts: Vietm,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
airlinetycoonii,Airline Tycoon 2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
airportsimulatorii0iiv,Airport Simulator 2014,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
alanwake,Alan Wake,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alanwakesamericannightmare,Alan Wake's American Nightmare,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alienbreediiassault,Alien Breed 2: Assault,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alienbreediiidescent,Alien Breed 3: Descent,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alienbreedimpact,Alien Breed: Impact,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alienscolonialmarines,Medieval II: Total WarTM Kingdoms,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alienscolonialmarinesbughuntdlc,Cabela's Dangerous Hunts 2013 DLC,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alienscolonialmarinesmoviemappack,Cabela's Dangerous Hunts 2013,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alienspidy,Alien Spidy,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
aliensversuspredatorclassicii000,Aliens versus Predator Classic 2000,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aliensvspredator,Empire: Total WarTM - Elite Units of the East,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aloneindark,Alone in the Dark,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aloneindarknewnightmare,Alone in the Dark: The New Nightmare,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alphazylon,Alpha Zylon,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alterego,Alter Ego,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amazingspiderman,The Amazing Spider-ManTM,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amazingspidermanii,The Amazing Spider-Man 2TM,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anachronox,Achronox,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
anewbeginningfinalcut,A New Beginning - Fil Cut,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
angelicaweavercatchmewhenyoucan,Angelica Weaver: Catch Me When You Can,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
angvik,Angvik,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
annoii0vii0completeedition,Anno 2070TM,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
annoii0vii0deepocean,Anno 2070TM - Deep Ocean,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
anomalywarzoneearth,Anomaly: Warzone Earth,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
anotherperspective,Another Perspective,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
antichamber,Antichamber,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
arcaneworlds,Arcane Worlds,7,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
