sgameName,gamename,discount,day,origin
abysswraithsofeden,Abyss: The Wraiths of Eden,0.13,7,7.99
acecombatassaulthorizonenhancededition,Ace Combat Assault Horizon - Enhanced Edition,0.88,7,19.99
acitysleepsdeluxeedition,A City SleepsTM,1,35,17.99
actofwardirectaction,Act of War: Direct Action,0.15,7,9.99
adamsventureepisodeiiirevelations,Adam's Venture Episode 3: Revelations,0.13,7,4.99
adamsventureepisodeisearchforlostgarden,Adam's Venture Episode 1: The Search For The Lost Garden,0.13,7,4.99
adventurepark,Adventure Park,0.88,7,29.99
adventurezatorwhenpigsfly,Adventurezator: When Pigs Fly,1,7,14.99
afterfallinsanitydirtyarenaedition,Afterfall Insanity -  Dirty Are Edition,0.11,7,0.99
afterfallinsanityextendededition,Afterfall Insanity Extended Edition,0.22,7,4.99
agameofdwarves,A Game of Dwarves,0.15,7,9.99
agameofthronesgenesis,A Game of Thrones - Genesis,2,7,19.99
ageofbooty,Age of BootyTM,0.11,7,4.99
ageofempiresiiicompletecollection,Age of Empires III: Complete Collection,0.88,7,39.99
agfprofantasysidescrollerplayer,Axis Game Factory's AGFPRO Fantasy Side-Scroller Player,1.5,49,14.99
agriculturalsimulatorhistoricalfarming,Agricultural Simulator: Historical Farming,0.12,7,14.99
agriculturalsimulatorii0iiextendededition,Agricultural Simulator 2011: Extended Edition,0.22,7,6.99
aimiiclanwars,A.I.M.2 Clan Wars,0.13,7,4.99
airconflictspacificcarriersivpack,Air Conflicts: Pacific Carriers,1.47,7,59.99
airconflictssecretwars,Air Conflicts: Secret Wars,0.3,7,9.99
airconflictsvietnamivpack,Air Conflicts: Vietm,0.95,7,89.99
airlinetycoonii,Airline Tycoon 2,0.11,7,19.99
airportsimulatorii0iiv,Airport Simulator 2014,1.5,7,14.99
alanwake,Alan Wake,0.88,7,29.99
alanwakesamericannightmare,Alan Wake's American Nightmare,0.22,7,9.99
alienbreediiassault,Alien Breed 2: Assault,0.23,7,9.99
alienbreediiidescent,Alien Breed 3: Descent,0.23,7,9.99
alienbreedimpact,Alien Breed: Impact,0.23,7,9.99
alienscolonialmarines,Medieval II: Total WarTM Kingdoms,1.47,7,14.99
alienscolonialmarinesbughuntdlc,Cabela's Dangerous Hunts 2013 DLC,1.5,7,9.99
alienscolonialmarinesmoviemappack,Cabela's Dangerous Hunts 2013,0.15,7,9.99
alienspidy,Alien Spidy,0.15,7,9.99
aliensversuspredatorclassicii000,Aliens versus Predator Classic 2000,0.66,7,4.99
aliensvspredator,Empire: Total WarTM - Elite Units of the East,0.15,7,14.99
aloneindark,Alone in the Dark,0.15,7,9.99
aloneindarknewnightmare,Alone in the Dark: The New Nightmare,0.12,7,6.99
alphazylon,Alpha Zylon,0.11,7,4.99
alterego,Alter Ego,0.3,7,9.99
amazingspiderman,The Amazing Spider-ManTM,0.83,7,49.99
amazingspidermanii,The Amazing Spider-Man 2TM,0.83,7,39.99
anachronox,Achronox,0.12,7,6.99
anewbeginningfinalcut,A New Beginning - Fil Cut,0.15,7,9.99
angelicaweavercatchmewhenyoucan,Angelica Weaver: Catch Me When You Can,1.5,7,13.99
angvik,Angvik,0.11,7,2.99
annoii0vii0completeedition,Anno 2070TM,0.95,7,49.99
annoii0vii0deepocean,Anno 2070TM - Deep Ocean,0.3,7,19.99
anomalywarzoneearth,Anomaly: Warzone Earth,0.15,14,9.99
anotherperspective,Another Perspective,0.12,7,5.99
antichamber,Antichamber,1,7,19.99
arcaneworlds,Arcane Worlds,0.15,70,9.99
arcaniafallofsetarrif,ArcaniA: Fall of Setarrif,1.5,7,14.99
arcaniagothiciv,ArcaniA,1,7,19.99
armadaiiviivi,Armada 2526,1.5,7,14.99
armadaiiviivigoldedition,Armada 2526 Gold Edition,1.5,7,19.99
armaiii,Arma 3,0.95,7,59.99
arsenalofdemocracy,Arsel of Democracy: A Hearts of Iron Game,0.15,7,9.99
ascensiontothrone,Ascension to the Throne,0.11,7,4.99
assassinscreedbrotherhood,Assassins Creed Brotherhood,1.5,7,19.99
assassinscreedfreedomcry,Assassin's Creed Freedom Cry,1,7,14.99
assassinscreediideluxeedition,Assassin's Creed 2 Deluxe Edition,1,7,19.99
assassinscreediiibattlehardenedpack,Assassins Creed III  The Battle Hardened Pack,0.15,7,9.99
assassinscreediiideluxeedition,Assassins Creed III,0.95,7,49.99
assassinscreediiihiddensecretspack,Assassins Creed III  The Hidden Secrets Pack,0.11,7,4.99
assassinscreediiiseasonpass,Assassins Creed III Season Pass,0.88,7,29.99
assassinscreediiityrannyofkingwashingtonpartiibetrayal,Assassins Creed III: The Betrayal,0.15,7,9.99
assassinscreediiityrannyofkingwashingtonpartiiiredemption,Assassins Creed III - The Tyranny of King Washington: The Redemption,0.66,7,7.99
assassinscreediiityrannyofkingwashingtonpartiinfamy,Assassin's Creed III Tyranny of King Washington: The Infamy,0.15,7,9.99
assassinscreedivblackflag,Assassins Creed IV Black FlagTM,1.47,7,39.99
assassinscreedivblackflagfreedomcry,Assassins Creed IV Black FlagTM  Freedom Cry,0.15,7,9.99
assassinscreedivblackflagillustriouspiratespack,Assassins CreedIV Black FlagTM - Illustrious Pirates Pack,0.66,7,6.99
assassinscreedivblackflagseasonpass,Assassins Creed IV Black FlagTM - Season Pass,1,7,19.99
assassinscreedliberationhd,Assassins Creed Liberation HD,1,7,19.99
assassinscreedrevelations,Assassin's Creed Revelations,2,7,19.99
assassinscreedrevelationslostarchive,Assassin's Creed Revelations - The Lost Archive,0.15,7,9.99
assassinscreedrevelationsmediterraneantravelermappack,Assassin's Creed Revelations - Mediterranean Traveler Map Pack,0.15,7,9.99
atrainviii,A-Train 8,0.88,7,19.99
avadonblackfortress,Avadon: The Black Fortress,0.15,7,9.99
avadoniicorruption,Avadon 2: The Corruption,0.15,7,9.99
avernumiv,Avernum 4,0.11,7,4.99
aveyondgatesofnight,Aveyond: Gates of Night,0.15,7,9.99
awalkindark,A Walk in the Dark,0.12,14,6.99
awizardslizard,A Wizard's Lizard,1,7,14.99
axisgamefactory,Axis Game Factory,1,84,19.99
axisgamefactorypremium,Axis Game Factory Premium,0.88,84,79.99
axisgamefactorysagfprozombiefpsplayerdlc,Axis Game Factory's AGFPRO Zombie FPS Player DLC,0.18,42,14.99
aztaka,Aztaka,0.15,7,9.99
babelrising,Babel Rising,0.15,7,9.99
badbots,Bad Bots,0.23,7,4.99
baldursgateenhancededition,Baldur's Gate: Enhanced Edition,1,7,19.99
baldursgateiienhancededition,Baldur's Gate II: Enhanced Edition,0.83,7,24.99
ball,The Ball,0.3,7,9.99
balladofsolar,Ballad of Solar,0.12,7,6.99
bangbangracing,Bang Bang Racing,0.15,7,9.99
banished,Banished,1,7,19.99
bannersaga,The Banner Saga,1,7,19.99
bastion,Bastion,1.5,7,14.99
batmanarkhamasylumgotyedition,Batman: Arkham Asylum Game of the Year Edition,1,7,19.99
batmanarkhamcitygameofyearedition,Batman: Arkham City - Game of the Year Edition,0.88,7,19.99
batmanarkhamorigins,BatmanTM: Arkham Origins,1.47,7,19.99
battlepaths,Battlepaths,0.11,7,4.99
battlestationsmidway,Battlestations: Midway,0.23,7,6.99
battlestationspacific,Battlestations Pacific,0.3,7,8.99
battleworldskronosdigitaldeluxeedition,Battle Worlds: Kronos,1,7,24.99
bejewelediii,Bejeweled 3,0.23,7,4.99
beyondgoodandevil,Beyond Good and EvilTM,0.15,7,9.99
binarydomain,Biry Domain,2,7,14.99
binarydomaindanmarshallpack,Biry Domain - Dan Marshall Pack,0.11,7,1.99
binarydomainmultiplayermappack,Biry Domain - Multiplayer Map Pack,0.13,7,1.99
bioshock,BioShockTM,0.3,7,19.99
bioshockinfinite,BioShock Infinite,1.47,7,29.99
bioshockinfiniteburialatseaepisodei,BioShock Infinite: Burial at Sea - Episode One,1.5,7,14.99
bioshockinfiniteburialatseaepisodeii,BioShock Infinite: Burial at Sea - Episode Two,1.5,7,14.99
bioshockinfiniteseasonpass,BioShock Infinite - Season Pass,1,7,19.99
blackbayasylum,Blackbay Asylum,1,7,19.99
blackink,Black Ink,2,42,99.99
blacklighttangodown,Blacklight: Tango Down,0.11,7,0.99
blackmirror,Black Mirror,0.15,7,9.99
bladekitten,Blade Kitten,0.15,7,5.99
blockland,Blockland,0.15,7,9.99
bloodbath,Bloodbath,1,7,19.99
bloodbowlchaosedition,Blood Bowl: Chaos Edition,0.88,7,29.99
bloodbowllegendaryedition,Blood Bowl Legendary Edition,2,7,19.99
bloodknights,Blood Knights,1.5,7,14.99
bloodofwerewolf,Blood of the Werewolf,0.23,7,6.99
bloodomeniilegacyofkain,Blood Omen 2: Legacy of Kain,0.12,7,6.99
bloodytraplandivpack,Bloody Trapland,0.88,7,29.99
bluetoadmurderfilesmysteriesoflittleriddle,Blue Toad Murder FilesTM: The Mysteries of Little Riddle,0.22,7,4.49
bomb,BOMB,1,7,11.99
bookofunwrittentalescritterchronicles,The Book of Unwritten Tales: The Critter Chronicles,1.5,7,19.99
